,Age,Gender,TotYrsOfExp,MainTech,AnualSalary
610,25.0,Male,4.5,"Spark, Pytorch",
611,34.0,Male,10,Java,73000.0
612,45.0,Male,30,PHP,55000.0
613,37.0,Male,15,C/C++,78000.0
614,31.0,Male,9,javascript,89000.0
615,32.0,Male,15,Golang,90000.0
616,45.0,Female,15,Java,52000.0
617,42.0,Male,16,java/scala/go/clouds/devops,
618,23.0,Male,4,,
619,36.0,Male,14,JS,73500.0
620,40.0,Male,20,C#,80000.0
621,28.0,Male,7,Java,
622,35.0,Male,15,C,63000.0
623,37.0,Male,12,Java,78000.0
624,33.0,Male,10,C/C++,75000.0
625,33.0,Male,13,Java,78600.0
626,31.0,Male,10,Java ,
627,31.0,Male,4,Java,50000.0
628,28.0,Male,3,Java,42000.0
629,31.0,Male,6,Python,53000.0
630,40.0,Male,20,Swift,230000.0
631,25.0,Female,3,Java,48000.0
632,35.0,Male,9,Python,70000.0
633,35.0,Male,15,.net,67000.0
634,41.0,Male,20,"Linux/UNIX, GIT, Virtualisation Platforms, *shell(s) scripts",56400.0
635,33.0,Male,8,AWS,72500.0
636,33.0,Male,13,Python,75000.0
637,38.0,Male,15,Java,70000.0
638,35.0,Male,10,php,78000.0
639,36.0,Female,5,Python,75000.0
640,49.0,Male,27,Java,57000.0
641,32.0,Male,10,TypeScript,90000.0
642,32.0,Female,6,Java,75000.0
643,27.0,Female,1,"Python, SQL",42000.0
644,31.0,Male,6,python,
645,31.0,Male,8,Swift,60000.0
646,28.0,Male,4,Java,44000.0
647,28.0,Female,3,JavaScript,52000.0
648,27.0,Male,2,DWH,97000.0
649,29.0,Male,8,JavaScript,65000.0
650,32.0,Female,10,Python,70000.0
651,28.0,Male,5,QA,58000.0
652,34.0,Female,13,python,90000.0
653,38.0,Male,16,Swift,85000.0
654,29.0,Male,3,Azure,45000.0
655,30.0,Male,7,C++,60000.0
656,33.0,Female,6,"Sketch, Figma",
657,30.0,Male,6,Python,
658,31.0,Male,5,,760000.0
659,37.0,Male,16,iOS,55000.0
660,32.0,Male,13,Kotlin,80000.0
661,32.0,Female,9,,
662,40.0,Male,13,,75000.0
663,30.0,Male,7,Java,82600.0
664,30.0,Male,8,JS,60000.0
665,32.0,Male,10,js,81000.0
666,32.0,Male,7,k8s,70000.0
667,34.0,Male,12,Java,69000.0
668,43.0,Male,10,Php,57600.0
669,33.0,Male,13,Java,64000.0
670,28.0,Female,8,Kotlin,64000.0
671,33.0,Male,11,Java,
672,33.0,Male,11,"Frontend: react, node.js",75000.0
673,51.0,Male,30,"VB, RPA, Python",50000.0
674,35.0,Male,8,Go,85000.0
675,35.0,Male,1,FBD,
676,33.0,Male,10,,
677,28.0,Male,6,"C, C++",
678,21.0,Female,2,,
679,25.0,Male,2,"Swift, Objective-C, iOS",43000.0
680,25.0,Female,1,Ruby,12000.0
681,32.0,Male,10,Ruby,68500.0
682,32.0,Male,9,Embedded,65000.0
683,26.0,Male,9,Go,95000.0
684,25.0,Male,6,JavaScript / TypeScript,66000.0
685,27.0,Female,5,Kotlin,52000.0
686,28.0,Male,7,Javascript,76000.0
687,32.0,Female,8,Java,
688,28.0,Male,7,Java,66000.0
689,34.0,Male,13,JavaScript,
690,35.0,Male,10,python,65000.0
691,38.0,Male,20,Java,130000.0
692,33.0,Male,9,Java,
693,36.0,Male,10,,80000.0
694,31.0,Female,8,Java,39000.0
695,43.0,Male,20,SAP / ABAP,82000.0
696,38.0,Male,15,Python,80000.0
697,35.0,Male,17,Kubrrnetes,72500.0
698,33.0,Male,6,,
699,33.0,Male,6,,
700,32.0,Male,10,python,
701,43.0,Male,21,,75000.0
702,37.0,Male,,C#,
703,37.0,Male,17,Swift,71000.0
704,30.0,Male,8,C++,69000.0
705,29.0,Male,5,iOS,58000.0
706,41.0,Male,18,JavaScript,92000.0
707,38.0,Male,4,PHP,43000.0
708,,Male,18,,
709,29.0,Male,6,TypeScript,
710,35.0,Male,12,JS,56000.0
711,41.0,Male,19,Java,73000.0
712,29.0,Male,0,Python,11000.0
713,26.0,Female,5,ABAP,46000.0
714,32.0,Male,12,,
715,30.0,Male,6,Python,
716,26.0,Male,3,"networking, linux, automation, cloud",
717,35.0,Female,4,PHP,47000.0
718,47.0,Male,25,java,
719,33.0,Male,10,,
720,44.0,Male,15,UML,
721,40.0,,13,python,72000.0
722,32.0,Male,13,JavaScript,65000.0
723,33.0,Male,2,Spark,60000.0
724,32.0,Male,8,"Js, reactJS ",
725,26.0,Male,4,Scala,46000.0
726,,Male,10,,80000.0
727,22.0,Diverse,1,Cobol,98000.0
728,43.0,Male,20,Java,105000.0
729,33.0,Male,11,JavaScript ,
730,35.0,Female,1,ABAP,50000.0
731,28.0,Male,5,JavaScript,62000.0
